comment_id,video_id,author_name,author_channel_id,text,likes,published_at,updated_at,is_reply,parent_id,reply_count,scraped_at
Ugw_U8MUT2ZZzQhxK4x4AaABAg,xwLrHUwGtJM,@dr.tonybrown,,I don’t get tired watching  konnected minds ngl 🫂,3,2026-03-07T01:39:56.851996+00:00,,0,,0,2026-03-17T22:00:50.520504
UgxRRVzHGu93V0tVgud4AaABAg,xwLrHUwGtJM,@celestinabaidoo6914,,I made it to the end!,0,2026-03-07T01:39:56.284839+00:00,,0,,0,2026-03-17T22:00:50.520012
Ugx_9FKYMfHH-0Mxv014AaABAg,xwLrHUwGtJM,@lumorbortey7306,,"Ama, you are really a nice person",1,2026-03-07T01:39:56.284796+00:00,,0,,0,2026-03-17T22:00:50.518698
UgwgLwuUluxWAxmLtxR4AaABAg,xwLrHUwGtJM,@DorisBayor-h2u,,"I made it to end🎉, this was insightful.",0,2026-03-07T01:39:56.284774+00:00,,0,,0,2026-03-17T22:00:50.517787
Ugzau3rMg6PRnRp32nl4AaABAg,xwLrHUwGtJM,@EstherOpokuYeboah-r8c,,Mind-blowing ❤❤❤,1,2026-03-07T01:39:56.284764+00:00,,0,,0,2026-03-17T22:00:50.517292
UgyK03cFUtXWlnLh1kF4AaABAg,xwLrHUwGtJM,@nextgeninvesting-b8q,,Made it to the end very interesting conversation 🎉,1,2026-03-07T01:39:56.284751+00:00,,0,,0,2026-03-17T22:00:50.516911
UgxZz4wVxZCWK8AmhMx4AaABAg,xwLrHUwGtJM,@GeorginaOwusuaAmoako,,I really enjoyed this conversation ☺️.,0,2026-03-07T01:39:56.284727+00:00,,0,,0,2026-03-17T22:00:50.516202
Ugxeh_c2HHTNL0lbGRh4AaABAg,xwLrHUwGtJM,@EmmanuellaKonaduAsare,,The Queen is finally on here! Love it❤,7,2026-03-07T01:39:56.284681+00:00,,0,,0,2026-03-17T22:00:50.514410
UgzZa6vB2oBPd7CeOFl4AaABAg,xwLrHUwGtJM,@akuamoafoah,,Amazing conversation,1,2026-03-07T01:39:56.284656+00:00,,0,,0,2026-03-17T22:00:50.513397
UgwoSE2Lid3_6XfZ_094AaABAg,xwLrHUwGtJM,@Joewusseh,,It’s a conversation not an interview… don’t get it wrong. If no u no go enjoy am.,2,2026-03-07T01:39:55.685002+00:00,,0,,0,2026-03-17T22:00:50.510395
UgwLqe4Jg1fnedULk0x4AaABAg,xwLrHUwGtJM,@EstherOpokuYeboah-r8c,,I made it to the end,2,2026-03-07T01:39:55.684975+00:00,,0,,0,2026-03-17T22:00:50.509014
UgwLm1jBRC6-D_qi4pV4AaABAg,xwLrHUwGtJM,@MESSIAH-t3y,,I LOVE HER SO MUCH😂,2,2026-03-07T01:39:55.684913+00:00,,0,,0,2026-03-17T22:00:50.505564
UgxkQXiu3tBJ4n_3mWx4AaABAg,xwLrHUwGtJM,@millicentyaru1946,,I love this episode,1,2026-03-07T01:39:55.023666+00:00,,0,,0,2026-03-17T22:00:50.499885
UgwYM_0CdhsU_VY67qB4AaABAg,xwLrHUwGtJM,@osmanhuseinatu4919,,"Another lovely interview, she did great 😌 ❤",1,2026-03-07T01:39:55.023537+00:00,,0,,0,2026-03-17T22:00:50.496621
Ugx8tt9C843osoe3rsR4AaABAg,xwLrHUwGtJM,@mimijanet2122,,"I made it to the end 
I must say it has changed a lot in mind. Thank you Mr. Derrick and Ama burland",1,2026-03-07T01:39:54.404929+00:00,,0,,0,2026-03-17T22:00:50.491400
Ugwe9Efjs5U0BnzQlSl4AaABAg,xwLrHUwGtJM,@JenniferAmoadzah,,This is so impactful,1,2026-03-07T01:39:54.404908+00:00,,0,,0,2026-03-17T22:00:50.490058
UgxG0ZXlG395yhTP9Nx4AaABAg,xwLrHUwGtJM,@khadijahkhalidgh,,❤️❤️a very good episode..,1,2026-03-07T01:39:54.404830+00:00,,0,,0,2026-03-17T22:00:50.486676
UgzSvzdt5KhA50ycXW14AaABAg,xwLrHUwGtJM,@AhatorAbenaSelikem,,"The ads part would be good , i typically bought some clothes since last year trying my best but im not selling but i haven’t lost hope. I keep on listen to this podcast till i make it and i have the hope that i will be great and come for an interview on your podcast one day and give my testimony that i am or i was a child or student of konnected mind podcast",2,2026-03-07T01:39:54.404805+00:00,,0,,0,2026-03-17T22:00:50.485765
UgyGgrTHVxKFm3tTvUB4AaABAg,xwLrHUwGtJM,@nynakb,,Made it to the end ! This was so inspiring!,2,2026-03-07T01:39:54.404679+00:00,,0,,0,2026-03-17T22:00:50.483279
Ugwi1fdZLN-WY5Wh19R4AaABAg,xwLrHUwGtJM,@MariyTalksBusiness,,Because it’s Ama burland 😂😂 I love it❤,3,2026-03-07T01:39:53.735312+00:00,,0,,0,2026-03-17T22:00:50.480284
UgzrEia1fysGhjZz6tx4AaABAg,xwLrHUwGtJM,@mihwakim96,,Ready for the nuggets about to be shared 👌🏼,3,2026-03-07T01:39:53.735306+00:00,,0,,0,2026-03-17T22:00:50.479797
UgxfsnKZeR6Kp45RZKh4AaABAg,xwLrHUwGtJM,@AmarteyUzziahna,,And I made it to the end as well🤭,3,2026-03-07T01:39:53.735274+00:00,,0,,0,2026-03-17T22:00:50.476541
Ugw2YSDYSnIoTI_DcGl4AaABAg,xwLrHUwGtJM,@HannahOdei-Kissi,,Been waiting,3,2026-03-07T01:39:53.735214+00:00,,0,,0,2026-03-17T22:00:50.471418
Ugxid1gs36Y77cFJ7uV4AaABAg,xwLrHUwGtJM,@euniceafrifa3486,,Huh! I made it to the end. Such an amazing conversation right there. Maturity at it peak ❤,1,2026-03-07T01:39:53.735204+00:00,,0,,0,2026-03-17T22:00:50.471021
Ugz__iVp9mfIFY0kBb54AaABAg,xwLrHUwGtJM,@sefah-b.7892,,I've been waiting for this podcast for weeks mernn😭😂 it's finally here🎉,2,2026-03-07T01:39:52.852353+00:00,,0,,0,2026-03-17T22:00:50.462267
UgwkScb_Ly7_dNRe3Q94AaABAg,xwLrHUwGtJM,@nickietarh,,Very insightful😊👌🏻. I'm glad I made it to the end.,3,2026-03-07T01:39:52.852312+00:00,,0,,0,2026-03-17T22:00:50.460653
Ugx-Ookta6Vbjs1YGgV4AaABAg,xwLrHUwGtJM,@TracieAbbey,,Definitely made it to the end,5,2026-03-07T01:39:52.123902+00:00,,0,,0,2026-03-17T22:00:50.458832
Ugz4Hzhff-SP8oA5OP14AaABAg,xwLrHUwGtJM,@kingsleyamoah7021,,You can't hate Ama Burland😅,9,2026-03-07T01:39:52.123841+00:00,,0,,0,2026-03-17T22:00:50.448087
UgyCsirdiXQoer-G-jl4AaABAg,xwLrHUwGtJM,@kpabiregina7025,,And she’s absolutely right with her insights!,3,2026-03-07T01:39:52.123812+00:00,,0,,0,2026-03-17T22:00:50.445231
Ugzd7Xd5UTtuQFDHrEN4AaABAg,xwLrHUwGtJM,@charlotte_apefa,,"I just knew this episode was going to eat downnnn, and yes, I made it to the end.” 😌🔥",3,2026-03-07T01:39:52.123728+00:00,,0,,0,2026-03-17T22:00:50.440388
UgyWw6cY1rqtGEVOLZR4AaABAg,xwLrHUwGtJM,@hildakay,,Here from Instagram🥰🥰,6,2026-03-07T01:39:52.123686+00:00,,0,,0,2026-03-17T22:00:50.439120
UgycGktZ2JtX22ox4JR4AaABAg,xwLrHUwGtJM,@ucukaoma4551,,The business awareness of this young lady is esoteric!!,2,2026-03-07T01:39:51.486751+00:00,,0,,0,2026-03-17T22:00:50.437674
